Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
NonBlockingPool	20	30	0	1000	154732.9396	6865.206	520740.17563333333
NonBlockingPool	40	30	0	1000	289163.0559333333	22118.9986	692270.2460333334
NonBlockingPool	60	30	0	1000	329092.49926666665	40943.91593333334	747009.9021666666
NonBlockingPool	80	30	0	1000	419561.9363666667	63899.22346666666	871231.3592666667
NonBlockingPool	100	30	0	1000	617839.4296666667	108707.1252	1140745.1981666668
NonBlockingPool	120	30	0	1000	886614.7148	216195.26026666668	1413664.0143333334
NonBlockingPool	140	30	0	1000	1065232.8576666666	300270.1941	1450356.8641
NonBlockingPool	160	30	0	1000	1355637.8915	341700.09130000003	1708030.2043333333
NonBlockingPool	180	30	0	1000	1672371.7316	440500.2671333334	1994417.7837666667
NonBlockingPool	200	30	0	1000	1951208.9793	504878.9896	2301171.9358
NonBlockingPool	220	30	0	1000	2167165.2202333333	589536.8609333334	2481862.654533333
NonBlockingPool	240	30	0	1000	2785896.6686333334	752706.7316333334	3122102.0261666663
NonBlockingPool	260	30	0	1000	3115830.8772333334	859346.8188333333	3447486.7635999997
NonBlockingPool	280	30	0	1000	3594657.380533333	985196.4920000001	3925481.3211
NonBlockingPool	300	30	0	1000	3942308.9268666664	1077664.5753333333	4274002.707
